task_id,arm,seed,status,precision,epochs,last_epoch,best_val_mse,best_val_epoch,best_curved_parent_mse,best_curved_parent_epoch,final_val_mse,final_curved_parent_mse,initial_perplexity,final_perplexity,initial_coverage,final_coverage,final_unique_bins,lr_reduction_count,final_lr,grad_clip_effective_epochs,max_preclip_grad_norm,train_batches,val_batches,skipped_train_batches,nonfinite_events,all_epochs_finite,experiment_signature,source_commit
continuous_bypass_64d:seed3,continuous_bypass_64d,3,COMPLETED,bf16,100,99,0.00050906,98,0.0011781043666996044,98,0.00051686,0.0012042093072902732,,,,,,3,3.75e-05,3,6.2978692054748535,46900,9400,0,0,True,6b02501165f3692c78e95c30f9f4c04ec64e8b3ce4a5a470cf760d11b26c9503,ba4712727ee3b8b28e23c8bf212486ea9c92aa5d
continuous_bypass_64d:seed4,continuous_bypass_64d,4,COMPLETED,bf16,100,99,0.00050326,96,0.0010659431400921687,96,0.000505,0.0010707604990531309,,,,,,2,7.5e-05,1,4.181735038757324,46900,9400,0,0,True,e7202e85bccaf90fb45c16dfa5a8df0e67159cd3dc40f8b9eaa5733e6a54b88e,ba4712727ee3b8b28e23c8bf212486ea9c92aa5d
vq_4096_64d_random:seed3,vq_4096_64d_random,3,COMPLETED,bf16,100,99,0.00115389,99,0.0026052966608714184,99,0.00115389,0.0026052966608714184,158.60096747705563,1632.8844713849244,0.152587890625,0.9736328125,3988,2,7.5e-05,7,10200487.0,46900,9400,0,0,True,de93614d0bdace4dcb93a629db1eeab10dbe2e9af7d9f818cdf370fb57c6ec66,ba4712727ee3b8b28e23c8bf212486ea9c92aa5d
vq_4096_64d_random:seed4,vq_4096_64d_random,4,COMPLETED,bf16,100,99,0.00115876,97,0.002896615708510735,98,0.00118032,0.0029925235688807003,142.69485030263257,1776.5620801353712,0.1611328125,0.984375,4032,2,7.5e-05,8,13515775.0,46900,9400,0,0,True,da66f970de19450b9400e19019e569547f042ac54c56eb293acb41ec30d3cbb7,ba4712727ee3b8b28e23c8bf212486ea9c92aa5d
