task_id,arm,seed,epoch,train_loss,val_loss,curved_parent_mse,planar_parent_mse,edge_parent_mse,entropy_perplexity,coverage,unique_bins,lr,lr_after_scheduler,preclip_grad_norm,grad_clip_was_effective,train_batches,finite_train_batches,skipped_train_batches,val_batches,finite_val_batches,finite_val_samples,nonfinite_loss_batches,nonfinite_gradient_batches,nonfinite_state_batches,nonfinite_state_audits,nonfinite_val_batches,nonfinite_val_samples,training_state_finite,finite_state_audit_status
continuous_bypass_64d:seed3,continuous_bypass_64d,3,20,0.00085049,0.00135682,0.0032868247316754887,0.0004362423009560094,0.0007179566453060018,,,,0.0003,0.0003,0.0793948769569397,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,21,0.00079615,0.00114714,0.0028013037895938966,0.00034120297596259614,0.0005638876000743935,,,,0.0003,0.0003,0.078208789229393,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,22,0.00082249,0.00120723,0.0028181845022844645,0.0003858217122582211,0.0006376863040344991,,,,0.0003,0.0003,0.08908378332853317,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,23,0.00076352,0.00107894,0.0025690747613798374,0.0002952042943606738,0.0005335041256176672,,,,0.0003,0.0003,0.06847700476646423,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,24,0.00075585,0.00110165,0.002690490508050321,0.00032014993539468054,0.0005651454170573396,,,,0.0003,0.0003,0.06898754090070724,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,25,0.00077504,0.00122978,0.0028678628861093726,0.0004188038952647088,0.0006855637622130213,,,,0.0003,0.0003,0.07779311388731003,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,26,0.0006608,0.00107456,0.0026153990130655756,0.0003199589526415696,0.0005249920839650368,,,,0.0003,0.0003,0.06833881884813309,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,27,0.00066704,0.00132627,0.002966278130359586,0.0004961956222805971,0.0007392671556420325,,,,0.0003,0.0003,0.06492498517036438,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,28,0.00067767,0.00105818,0.002534356075284145,0.0003443046338448248,0.0004941416115544493,,,,0.0003,0.0003,0.07344526797533035,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,29,0.00062381,0.00105072,0.0025291031267047756,0.00028558295046583895,0.0005374650479869498,,,,0.0003,0.0003,0.07793128490447998,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,30,0.0005663,0.00097413,0.00226552527812068,0.00026631406034092776,0.0005059236047044653,,,,0.0003,0.0003,0.05906036123633385,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,31,0.00055308,0.00093492,0.002240679179101695,0.00023588607410506782,0.0004609521764003399,,,,0.0003,0.0003,0.11285735666751862,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,32,0.00049731,0.00087042,0.002109651888342564,0.0002186480828764945,0.0004252813696934154,,,,0.0003,0.0003,0.05518564209342003,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,33,0.00054428,0.0009902,0.002225611761764581,0.0003189147282527121,0.0004942944710473336,,,,0.0003,0.0003,0.06537198275327682,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,34,0.00050042,0.00091429,0.0021533865371036608,0.0002512786696576385,0.0004354947201678872,,,,0.0003,0.0003,0.055923882871866226,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,35,0.00055903,0.00134086,0.0031972294874107686,0.0005759364157921354,0.0006817759197518517,,,,0.0003,0.0003,0.06972381472587585,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,36,0.00064212,0.00088814,0.0021740769951295374,0.00021814796488043052,0.0004348451059008483,,,,0.0003,0.0003,0.09795006364583969,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,37,0.00058176,0.00100979,0.0023658795000362546,0.0003342569635946905,0.0004834757585947657,,,,0.0003,0.0003,0.08288948982954025,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
