epoch,train/total_loss,train/recon_loss,train/vq_loss,train/codebook_usage,train/perplexity,train/learning_rate,val/total_loss,val/recon_loss,val/vq_loss,val/codebook_usage,val/perplexity,val/best_loss
1,0.05345306545495987,0.01418819185346365,0.039264872670173645,0.03269883245229721,179.2795867919922,9.999999747378752e-05,0.003052288666367531,0.0024994395207613707,0.0005528490873984993,0.749755859375,140.0670623779297,0.0024994395207613707
2,0.036944832652807236,0.0018743905238807201,0.03507044166326523,0.03550536930561066,196.92381286621094,9.999999747378752e-05,0.001893664593808353,0.001468096161261201,0.0004255684034433216,0.8133544921875,145.1154022216797,0.001468096161261201
3,0.03143685683608055,0.0012467543128877878,0.030190100893378258,0.035774026066064835,198.4256591796875,9.999999747378752e-05,0.001628295169211924,0.0012353182537481189,0.00039297694456763566,0.8428955078125,147.15225219726562,0.0012353182537481189
4,0.028785061091184616,0.0009721711976453662,0.027812890708446503,0.03581375256180763,198.12359619140625,9.999999747378752e-05,0.0014235218986868858,0.0010535749606788158,0.00036994690890423954,0.840087890625,147.89614868164062,0.0010535749606788158
5,0.027775544673204422,0.0008180318400263786,0.026957513764500618,0.03584744781255722,198.12530517578125,9.999999747378752e-05,0.001117049134336412,0.0008001418318599463,0.00031690733158029616,0.8531494140625,146.7676239013672,0.0008001418318599463
6,0.02660852111876011,0.0007049861014820635,0.02590353414416313,0.035851575434207916,198.2262420654297,9.999999747378752e-05,0.0011145842727273703,0.0007740473956800997,0.0003405368479434401,0.859375,148.46519470214844,0.0007740473956800997
7,0.024337884038686752,0.0006288079894147813,0.023709075525403023,0.03581032529473305,197.7117462158203,9.999999747378752e-05,0.001163708046078682,0.0007938784547150135,0.00036982959136366844,0.832275390625,148.13088989257812,0.0007740473956800997
8,0.020694471895694733,0.0005834820331074297,0.02011099085211754,0.035576753318309784,195.30657958984375,9.999999747378752e-05,0.0011354583548381925,0.0006854270468465984,0.0004500312788877636,0.7967529296875,147.47535705566406,0.0006854270468465984
9,0.013274600729346275,0.0005566083709709346,0.012717992067337036,0.035249676555395126,191.50466918945312,9.999999747378752e-05,0.0010429092217236757,0.0005946133169345558,0.00044829590478911996,0.784912109375,145.82252502441406,0.0005946133169345558
10,0.005662774201482534,0.0005082236602902412,0.005154550541192293,0.03513147681951523,189.1151123046875,9.999999747378752e-05,0.0009483263129368424,0.0005622931057587266,0.0003860332362819463,0.81494140625,149.095947265625,0.0005622931057587266
11,0.0025596620980650187,0.0004736531700473279,0.0020860088989138603,0.035234056413173676,188.8837432861328,9.999999747378752e-05,0.0009053630637936294,0.0005234628915786743,0.0003819001722149551,0.8367919921875,147.9259796142578,0.0005234628915786743
12,0.0015988617669790983,0.0004290450597181916,0.0011698167072609067,0.03522379323840141,187.3671112060547,9.999999747378752e-05,0.0008608691859990358,0.0004822754126507789,0.0003785938024520874,0.8563232421875,148.5904541015625,0.0004822754126507789
