cad_id,joint_iterations,sewing_tolerance,step_relative_path,bytes,sha256,native_brep_valid,strict_brep_valid,both_valid,step_bytes_archived
00000444_4ed4c78d6d754aac90876fc2_step_003,0,0.0001,steps/joint0_sew1e-04/00000444_4ed4c78d6d754aac90876fc2_step_003.step,276966,47d66c26331bb3b2f95dc54f14c30fce10e1fd73082696671d016318e6c17e40,False,False,False,False
00000444_4ed4c78d6d754aac90876fc2_step_003,0,0.001,steps/joint0_sew1e-03/00000444_4ed4c78d6d754aac90876fc2_step_003.step,276966,d69e1ca96db6ed3cdef5c6c4db91170c86adb6561a08f0e0d241db7ca2a79fbe,False,False,False,False
00000444_4ed4c78d6d754aac90876fc2_step_003,0,0.01,steps/joint0_sew1e-02/00000444_4ed4c78d6d754aac90876fc2_step_003.step,276966,41e54754918e8f64e81cb62a217b2b79c994a8447305e6c29e133725860dc9c8,False,False,False,False
00000444_4ed4c78d6d754aac90876fc2_step_003,200,0.0001,steps/joint200_sew1e-04/00000444_4ed4c78d6d754aac90876fc2_step_003.step,314742,a8465192e1983ff34598f9fa3509e019ebba164a813b477c59a5c71eef570f85,False,False,False,False
00000444_4ed4c78d6d754aac90876fc2_step_003,200,0.001,steps/joint200_sew1e-03/00000444_4ed4c78d6d754aac90876fc2_step_003.step,314720,e02c2fd6fe44e01497336945629371ba045ca17267032e7ebf30c9ed4dd8b1d4,False,False,False,False
00000444_4ed4c78d6d754aac90876fc2_step_003,200,0.01,steps/joint200_sew1e-02/00000444_4ed4c78d6d754aac90876fc2_step_003.step,314720,e83fd94b8a602b94404b4e72d1209746295a51dbc0706230cf08d5a6bfd95db7,False,False,False,False
00002441_179a8df075c94d0596b1f20d_step_010,0,0.0001,steps/joint0_sew1e-04/00002441_179a8df075c94d0596b1f20d_step_010.step,84991,5c42be9d36cb5873fcb52b02ebe1a868b753deef4ea652323ecb5406934dc6a2,True,False,False,False
00002441_179a8df075c94d0596b1f20d_step_010,0,0.001,steps/joint0_sew1e-03/00002441_179a8df075c94d0596b1f20d_step_010.step,84991,f1e74df7074ad5e9ad9798cb3d9cdb408cd3ca27707041877d27caaa861d8d4d,True,False,False,False
00002441_179a8df075c94d0596b1f20d_step_010,0,0.01,steps/joint0_sew1e-02/00002441_179a8df075c94d0596b1f20d_step_010.step,84991,debb3c0cf9f24dcc88a4c39ea7d455a41c8b221f9b348f63107464e4f6035759,True,False,False,False
00002441_179a8df075c94d0596b1f20d_step_010,200,0.0001,steps/joint200_sew1e-04/00002441_179a8df075c94d0596b1f20d_step_010.step,103487,55e9b88136b0496c435eee4cfe5c8c270ff991e2f6ff77b11618674c9a503ed4,True,False,False,False
00002441_179a8df075c94d0596b1f20d_step_010,200,0.001,steps/joint200_sew1e-03/00002441_179a8df075c94d0596b1f20d_step_010.step,103487,8f5507470c236ed06edb0d5834bcd404b8d28dda60b83e8acf7b8f12e7559d9d,True,False,False,False
00002441_179a8df075c94d0596b1f20d_step_010,200,0.01,steps/joint200_sew1e-02/00002441_179a8df075c94d0596b1f20d_step_010.step,103487,f1d2ffc51668f787b92b1e627da5bed12b70fc275d469c97f6773f62e0093682,True,False,False,False
