patches,arm,protocol_scope,runs,curved_parent_mse_mean,curved_parent_mse_sd,perplexity_mean,usage_fraction_mean,usage_fraction_sd,codebook_size
12000,fsq_4096_6d,historical_reference,3,0.010587695152922875,0.0005857740609637633,663.6866675519561,0.1620328778203018,0.017548177885514615,4096
12000,fsq_8192_4d,historical_reference,3,0.010950457014378984,0.001016945752679024,1501.4292997573184,0.18327994381803203,0.014727421953620545,8192
60000,fsq_4096_6d,master,2,0.004423262278816909,0.00038873619247615485,482.46004315963825,0.11778809647452106,0.005745818402221212,4096
60000,fsq_8192_4d,master,2,0.004717895873108025,0.001959808022509673,1412.1923546486346,0.17238676204206965,0.02947985800776424,8192
60000,vq_4096_64d_random,master,2,0.0026254455321873893,0.0001351459451858272,1546.2847223725598,0.37751091854798824,0.02472342504737687,4096
300000,fsq_4096_6d,master,2,0.0034969567194681247,0.0003853137009158052,586.6056353269266,0.14321426643723795,0.010879347647194447,4096
300000,fsq_8192_4d,master,2,0.0020178869601801723,2.4486715118192418e-05,1604.5666883213469,0.1958699570704769,0.009015741138312439,8192
