epoch,train/total_loss,train/recon_loss,train/vq_loss,train/codebook_usage,train/perplexity,train/learning_rate,val/total_loss,val/recon_loss,val/vq_loss,val/codebook_usage,val/perplexity,val/best_loss
71,0.00016351536032743752,9.528377995593473e-05,6.823157309554517e-05,0.034307584166526794,171.62185668945312,9.999999747378752e-05,0.00030375769711099565,0.0002549347118474543,4.8822967073647305e-05,0.927978515625,155.44459533691406,0.00024036651302594692
72,0.00016647917800582945,9.730519377626479e-05,6.917398422956467e-05,0.03438500314950943,172.8212432861328,9.999999747378752e-05,0.000335764983901754,0.00027474958915263414,6.101539111114107e-05,0.916748046875,154.50604248046875,0.00024036651302594692
73,0.0001522103848401457,8.836816414259374e-05,6.384222797350958e-05,0.034264352172613144,170.88018798828125,9.999999747378752e-05,0.00028973922599107027,0.0002480359689798206,4.170324973529205e-05,0.9290771484375,154.89833068847656,0.00024036651302594692
74,0.00015697942581027746,9.404508455190808e-05,6.293434125836939e-05,0.03446144238114357,173.4779510498047,9.999999747378752e-05,0.00028605645638890564,0.00024731591111049056,3.87405525543727e-05,0.9276123046875,156.37962341308594,0.00024036651302594692
75,0.00016024864453356713,9.663146920502186e-05,6.361718260450289e-05,0.03449039161205292,175.0198211669922,9.999999747378752e-05,0.00028679691604338586,0.00025000175810419023,3.679516157717444e-05,0.9288330078125,155.2178192138672,0.00024036651302594692
76,0.0001510303554823622,9.022461017593741e-05,6.080575258238241e-05,0.03448910266160965,173.60740661621094,9.999999747378752e-05,0.00028204513364471495,0.00024340147501789033,3.864366590278223e-05,0.9276123046875,158.07481384277344,0.00024036651302594692
77,0.00015183504729066044,9.197051986120641e-05,5.986452742945403e-05,0.034762222319841385,177.83108520507812,9.999999747378752e-05,0.00030269971466623247,0.0002572268422227353,4.54728833574336e-05,0.926025390625,157.91725158691406,0.00024036651302594692
78,0.00014716041914653033,8.824079122859985e-05,5.891963155590929e-05,0.03464631363749504,176.14370727539062,9.999999747378752e-05,0.00027146594948135316,0.0002357203484280035,3.574559013941325e-05,0.924560546875,155.84901428222656,0.0002357203484280035
79,0.0001636599045014009,0.00010140916128875688,6.225074321264401e-05,0.03500409424304962,180.65585327148438,9.999999747378752e-05,0.00028816229314543307,0.0002501356939319521,3.802659921348095e-05,0.9151611328125,156.69967651367188,0.0002357203484280035
80,0.0001801301841624081,0.00011000208178302273,7.012810237938538e-05,0.03541650250554085,187.5864715576172,9.999999747378752e-05,0.00030105948098935187,0.0002501186972949654,5.094079824630171e-05,0.903564453125,155.9853973388672,0.0002357203484280035
81,0.00017486423894297332,0.00010451597336214036,7.034826558083296e-05,0.03549562394618988,188.91651916503906,9.999999747378752e-05,0.0003005273756571114,0.00025378420832566917,4.6743170969421044e-05,0.9022216796875,158.22657775878906,0.0002357203484280035
82,0.00019069599511567503,0.00011322574573569,7.747024937998503e-05,0.035619575530290604,191.57054138183594,9.999999747378752e-05,0.0003142122586723417,0.00025333312805742025,6.087911606300622e-05,0.904541015625,158.35162353515625,0.0002357203484280035
83,0.0001775451237335801,0.00010258051770506427,7.496460602851585e-05,0.03562331572175026,191.37440490722656,9.999999747378752e-05,0.0003911188687197864,0.0003247218846809119,6.639699131483212e-05,0.9075927734375,156.081298828125,0.0002357203484280035
84,0.00016852965927682817,9.676731860963628e-05,7.176234794314951e-05,0.03555960953235626,188.77426147460938,9.999999747378752e-05,0.0003448670613579452,0.00028598422068171203,5.888284067623317e-05,0.8970947265625,157.14987182617188,0.0002357203484280035
85,0.0001771552488207817,9.948993829311803e-05,7.766531052766368e-05,0.03570284694433212,191.60194396972656,9.999999747378752e-05,0.00036973884562030435,0.0002816032792907208,8.813556632958353e-05,0.8812255859375,156.2113037109375,0.0002357203484280035
86,0.00018193550931755453,9.893567039398476e-05,8.299984619952738e-05,0.035818420350551605,193.36920166015625,9.999999747378752e-05,0.00032895439653657377,0.000262551853666082,6.640253559453413e-05,0.8677978515625,154.8125457763672,0.0002357203484280035
